Title,,Artist,,Genre,,Subgenre,,Out for the Day,On my Wall,Cubby,Genre,Count,,,,
A Star is Born,,"Streisand, Barbera and Kris Kristofferson",,Soundtrack,,Waltz,,,,4,,,,,,
A Treasury of Great Operettas,,Various,,Soundtrack,,German,,,,5,,,,,,
Brigadoon,,Various,,Soundtrack,,Japanese,,,,5,,,,,,
Camelot,,Various,,Soundtrack,,Russian,,,,5,,,,,,
Grease,,Various,,Soundtrack,,Doom,,,,,,,,,,
"Greatest Moments of No, No Nanette & The Gypsy Baron",,Various,,Soundtrack,,,,,,,,,,,,
Hair,,Various,,Soundtrack,,Pop-Rock,,,,,,,,,,
Midnight Cowboy,,Various,,Soundtrack,,,,,,,,,,,,
Staying Alive,,Various,,Soundtrack,,Gospel,,,,,,,,,,
The Very Best of Motion Picture Musicals,,Various,,Soundtrack,,Gospel,,,,,,,,,,
The Very Best of Sigmund Romberg,,Various,,Soundtrack,,,,,,,,,,,,
Themes from Hit TV Shows,,Various,,Soundtrack,,,,,,,,,,,,
Urban Cowboy,,Various,,Soundtrack,,,,,,,,,,,,
West Side Story,,Various,,Soundtrack,,,,,,,,,,,,
Star Wars,,"Williams, John",,Soundtrack,,,,,,,,,,,,
Great Moments In Radio Volume 1,,"Benny, Jack",,Spoken Word,,,,,,,,,,,,
Great Moments In Radio Volume 2,,"Benny, Jack",,Spoken Word,,,,,,,,,,,,
Spanish Language Record Course,,Conversa-Phone's Round-The-World,,Spoken Word,,,,,,,,,,,,
Themes Like Old Times,,"Garrett, Snuff",,Spoken Word,,,,,,,,,,,,
The Prophet,,"Gibran, Kahlil",,Spoken Word,,,,,,,,,,,,
Listen & Learn German,,"Gronika, André von",,Spoken Word,,,,,,,,,,,,
The Suprise Party,,"Hutchins, Pat",,Spoken Word,,Bluegrass,,,,,,,,,,
A Memorial Album,,"Kennedy, John Fitzgerald",,Spoken Word,,,,,,,,,,,,
Audio Obstacle Course - Era III,,Various,,Testing,,Gospel,,,,,,,,,,
Abelboden Hell,,"Brügger, Arthur",,World,,,,,,,,,,,,
Русская Народная Муэъіка,,"Poustylnicof, Sania",,World,,Prog Rock,,,,,,,,,,
Japanese Melodies for Flute and Harp,,"Rampal, Jean-Pierre and Lily Laskine",,World,,Folk Rock,,,,,,,,,,
